user_id,location,season,duration_days,budget_usd,group_size,trip_type,distance_km,hotel_quality,rating_1_5,review_polarity,weather_score,time_flexibility,ambiguity_level,accept_recommendation
1,Paris,Summer,7,2672.9135465475724,3,Honeymoon,2197.0383990677,1,2,0.6195719157420905,0.7736497745794804,0.1408908617688801,0.8949937460416648,1
2,Queenstown,Winter,9,2625.3271291048263,3,Leisure,823.5238865152429,5,3,0.03244348454668569,0.8381760147620776,0.005488396134590401,0.22977782294308124,1
3,Cairo,Monsoon,3,1768.0816928066718,2,Business,1380.0907925843244,4,3,0.5378704818804743,0.9419634885885396,0.8568915413857133,0.5210058072286208,1
4,Goa,Winter,9,2035.575318096231,1,Adventure,1241.1998300112737,4,2,0.5340339492229221,0.06342459930333799,0.8632073757996691,0.8499222201663773,1
5,Goa,Dry,13,887.92675073659,3,Cultural,121.93753531734453,5,4,0.05631436475341658,0.799234743298472,0.09530660451771011,0.3773879721161115,0
6,Santorini,Winter,3,486.93702993929037,5,Cultural,531.0312339028051,3,5,-0.24654027599410397,0.7087661482198349,0.152241302888801,0.06040757679563247,1
7,Paris,Monsoon,5,1978.4098168447758,1,Honeymoon,1052.920179495533,2,2,-0.21761701556116494,0.20702560067655917,0.44790223125776796,0.29163435653851655,1
8,Cairo,Spring,10,2196.0029670919726,2,Backpacking,824.4453182961212,1,1,0.5189266744340685,0.9317022663401231,0.1857041730663156,0.24192031147481086,1
9,Kyoto,Winter,9,3735.207834211093,2,Cultural,1336.3296288753897,5,5,0.07892659314365466,0.40420188030639204,0.7358211368367569,0.8700626186891045,0
10,Paris,Summer,10,4641.540013659461,5,Business,2706.9717410816043,3,5,-0.4230911098652942,0.8876105274548042,0.058039745705722345,0.46384634940914826,0
11,Reykjavik,Autumn,8,4637.81714203166,3,Business,847.9073496009878,5,5,-0.7424314177545625,0.6051137046649254,0.5497093323858661,0.6835442374463132,1
12,Banff,Autumn,10,993.4520966035063,3,Business,470.5377375312187,2,2,0.5159157260481897,0.5267479465409566,0.3827915651139041,0.9621191496915854,0
13,Queenstown,Dry,9,1463.5803086898782,4,Business,1422.0877634939116,5,4,-0.1733892111321119,0.1595239338959794,0.46494648369225156,0.29918785238520373,0
14,Queenstown,Dry,2,2411.97351561779,2,Honeymoon,844.4633468757139,5,4,0.26519387782799086,0.9143276242873128,0.42475711769560176,0.7611995575273958,1
15,Queenstown,Summer,11,8259.693891148341,4,Backpacking,967.9197678049786,2,4,0.7198534535345618,0.5566619073622462,0.15315918253465366,0.022764121518721425,1
16,Queenstown,Winter,7,4394.282408307984,1,Honeymoon,868.3379868814885,3,5,-0.5544622384267426,0.0060924054968174435,0.22028148530856229,0.10411617531152817,1
17,Reykjavik,Winter,2,3539.13737551099,1,Leisure,6591.0651125210725,4,5,0.07743130974357754,0.01828454107028321,0.06480769891042659,0.1618650900032781,1
