user_id,location,season,duration_days,budget_usd,group_size,trip_type,distance_km,hotel_quality,rating_1_5,review_polarity,weather_score,time_flexibility,ambiguity_level,accept_recommendation,continent
1,Paris,Summer,7,2672.9135465475724,3,Honeymoon,2197.0383990677,1,2,0.6195719157420905,0.7736497745794804,0.1408908617688801,0.8949937460416648,1,Europe
2,Queenstown,Winter,9,2625.3271291048263,3,Leisure,823.5238865152429,5,3,0.0324434845466856,0.8381760147620776,0.0054883961345904,0.2297778229430812,1,Oceania
3,Cairo,Monsoon,3,1768.0816928066718,2,Business,1380.0907925843244,4,3,0.5378704818804743,0.9419634885885396,0.8568915413857133,0.5210058072286208,1,Africa
4,Goa,Winter,9,2035.575318096231,1,Adventure,1241.1998300112737,4,2,0.5340339492229221,0.0634245993033379,0.8632073757996691,0.8499222201663773,1,Asia
5,Goa,Dry,13,887.92675073659,3,Cultural,121.93753531734453,5,4,0.0563143647534165,0.799234743298472,0.0953066045177101,0.3773879721161115,0,Asia
6,Santorini,Winter,3,486.9370299392904,5,Cultural,531.0312339028051,3,5,-0.2465402759941039,0.7087661482198349,0.152241302888801,0.0604075767956324,1,Europe
7,Paris,Monsoon,5,1978.409816844776,1,Honeymoon,1052.920179495533,2,2,-0.2176170155611649,0.2070256006765591,0.4479022312577679,0.2916343565385165,1,Europe
8,Cairo,Spring,10,2196.002967091973,2,Backpacking,824.4453182961212,1,1,0.5189266744340685,0.9317022663401232,0.1857041730663156,0.2419203114748108,1,Africa
9,Kyoto,Winter,9,3735.207834211093,2,Cultural,1336.3296288753895,5,5,0.0789265931436546,0.404201880306392,0.7358211368367569,0.8700626186891045,0,Asia
10,Paris,Summer,10,4641.540013659461,5,Business,2706.9717410816043,3,5,-0.4230911098652942,0.8876105274548042,0.0580397457057223,0.4638463494091482,0,Europe
11,Reykjavik,Autumn,8,4637.81714203166,3,Business,847.9073496009878,5,5,-0.7424314177545625,0.6051137046649254,0.5497093323858661,0.6835442374463132,1,Europe
12,Banff,Autumn,10,993.4520966035064,3,Business,470.5377375312187,2,2,0.5159157260481897,0.5267479465409566,0.3827915651139041,0.9621191496915854,0,North America
13,Queenstown,Dry,9,1463.5803086898782,4,Business,1422.0877634939116,5,4,-0.1733892111321119,0.1595239338959794,0.4649464836922515,0.2991878523852037,0,Oceania
14,Queenstown,Dry,2,2411.97351561779,2,Honeymoon,844.4633468757139,5,4,0.2651938778279908,0.9143276242873128,0.4247571176956017,0.7611995575273958,1,Oceania
15,Queenstown,Summer,11,8259.693891148341,4,Backpacking,967.9197678049786,2,4,0.7198534535345618,0.5566619073622462,0.1531591825346536,0.0227641215187214,1,Oceania
16,Queenstown,Winter,7,4394.282408307984,1,Honeymoon,868.3379868814885,3,5,-0.5544622384267426,0.0060924054968174,0.2202814853085622,0.1041161753115281,1,Oceania
17,Reykjavik,Winter,2,3539.13737551099,1,Leisure,6591.0651125210725,4,5,0.0774313097435775,0.0182845410702832,0.0648076989104265,0.1618650900032781,1,Europe
18,Bali,Summer,6,1432.71600588586,5,Cultural,182.6253143217792,2,3,0.0146529268905651,0.7776326050180475,0.1152855752990712,0.3124183368725084,1,Asia
19,Santorini,Spring,7,1064.308127302471,4,Cultural,803.7858496104011,1,1,0.2898714378139803,0.1619363533783896,0.9778948224189148,0.4029872151293784,0,Europe
20,Goa,Spring,3,2902.5493906892734,1,Business,1093.4015231295523,2,1,0.7195799992102173,0.5987384356281452,0.2797868116772519,0.4770158907322543,1,Asia
21,Reykjavik,Winter,13,934.118441726564,3,Business,587.0359174837329,3,5,-0.564725907331204,0.6810819619339803,0.3070255393395642,0.2453313462833974,1,Europe
22,NYC,Summer,4,1567.0312573481797,1,Honeymoon,2252.6456878970703,1,5,0.3848989743528834,0.2793655929484968,0.127106330432121,0.0662153196101359,0,North America
23,Bali,Dry,5,1687.719064968392,4,Cultural,2101.9192669650142,2,1,0.6157618874968507,0.5693138084114124,0.7551642044967515,0.6775230918402433,1,Asia
24,Banff,Summer,7,4702.018922643075,4,Adventure,1055.527905594278,5,2,0.0068114680216086,0.2402587459890747,0.924142810187282,0.0236613535342644,0,North America
25,Queenstown,Dry,11,1461.4459747114968,2,Cultural,883.1199152336851,1,2,0.0312765035534382,0.9463154273679504,0.789750537066651,0.8094706348587248,0,Oceania
26,Cairo,Summer,10,418.40514806950347,2,Backpacking,1002.6828460401664,1,2,0.3092246844924611,0.860170156349167,0.6126158294341718,0.9291548251512014,1,Africa
27,Goa,Winter,11,2447.119233358627,2,Adventure,1008.4509070997674,3,4,0.2724085389448941,0.2880427914974691,0.8132329156105762,0.7103689136596344,1,Asia
28,Santorini,Spring,4,1188.665927771095,2,Leisure,1029.9871212444964,1,3,0.3911763036835612,0.5288144909503397,0.4042302329328584,0.5959605172748319,1,Europe
29,Reykjavik,Autumn,12,1854.8861799892195,2,Backpacking,943.5041079871444,1,3,0.3806402632006084,0.5006328571539057,0.8594973550806875,0.6570185293286328,1,Europe
30,Goa,Winter,11,1716.3876872382573,2,Adventure,1342.0578872673989,1,3,-0.3909861528078255,0.960023257950074,0.798518849638182,0.6522220466175943,1,Asia
31,Goa,Dry,7,1534.2203297945664,3,Business,2003.3371657159664,1,4,0.5951332488524718,0.394028780183854,0.001724644256319,0.9317051360665004,1,Asia
32,Kyoto,Monsoon,8,2905.0455501319825,5,Honeymoon,409.850263460722,5,4,0.6833915810951191,0.5622275546215668,0.487794134917517,0.9643058711939674,0,Asia
33,Paris,Spring,2,720.7418818563741,4,Adventure,473.1766947684903,1,1,0.1930414468451491,0.9287065948874372,0.2646165760792262,0.4267116419082217,0,Europe
34,Reykjavik,Summer,11,1325.8266955435588,2,Cultural,270.7472087259493,3,1,-0.6470776532748335,0.1628110511765581,0.0862329163676954,0.6170791761484181,0,Europe
35,Santorini,Spring,13,2725.5424400887123,5,Adventure,2193.202142222713,4,2,0.0426271469999547,0.5504856032783381,0.8461960427477748,0.8028070537341723,0,Europe
36,Paris,Spring,7,1250.813144988555,2,Leisure,1339.7772322729493,4,3,0.1972029384702842,0.1056729203618296,0.0079496843011223,0.0010381571721375,0,Europe
37,Santorini,Autumn,8,688.6381657028617,5,Leisure,1642.8930354888173,4,5,-0.4723001188934086,0.6174989318185006,0.7301635020553603,0.5270159168277156,0,Europe
38,Santorini,Winter,7,2700.340637182289,2,Adventure,349.4642995720308,2,5,-0.0800690317885067,0.3656832033870046,0.988192120997186,0.6528763398176977,0,Europe
39,Kyoto,Winter,2,3546.997600424458,3,Cultural,4573.154454064715,5,4,-0.6046846937792709,0.9676360731796008,0.4820197667062357,0.7172054497375816,0,Asia
40,Cairo,Monsoon,9,1759.8834696502504,2,Business,673.7905281306636,1,1,0.403646112493222,0.4154091811485263,0.3712405299414346,0.3687894093962811,0,Africa
41,Bali,Winter,10,557.5168019562674,4,Leisure,1254.590678389703,1,1,0.1829776574510256,0.1361876375417068,0.6058329544747134,0.2956444206115922,0,Asia
42,Queenstown,Winter,13,2761.6451446036995,2,Backpacking,2172.2260029031427,5,3,-0.7228915824071223,0.8339999609284041,0.8046978276476722,0.1821425665679085,1,Oceania
43,Queenstown,Spring,13,667.8524535017968,5,Honeymoon,497.9084353513559,1,3,0.2757324307909903,0.8208666914229141,0.2402519937752788,0.5578155490526845,1,Oceania
44,NYC,Summer,7,2176.07824630434,1,Leisure,708.3515522547492,1,4,0.0717455263048543,0.6948596195427844,0.2507014291535362,0.9193034322521216,1,North America
45,Paris,Autumn,13,1061.588558281986,3,Backpacking,1265.6453379798068,1,1,0.3582071413772024,0.748811801884228,0.6071780140868468,0.8959781507240482,0,Europe
46,Banff,Monsoon,8,901.5328024824188,1,Leisure,10785.72155733705,1,5,-0.0957662168777138,0.2647152176894068,0.9398798208543052,0.3599659271576924,1,North America
47,Goa,Spring,9,1386.9383761786114,5,Business,1395.348933168763,1,3,-0.3007397003715121,0.6420535004227813,0.2984399757587634,0.2578551399382026,1,Asia
48,Santorini,Autumn,9,1619.740882150956,3,Cultural,3964.3172320098975,3,3,-0.2854223132289034,0.0380198712053936,0.3767546632290131,0.788793822670777,1,Europe
49,Cairo,Autumn,13,1228.408919692262,4,Business,2877.1011358135847,4,1,-0.1690851082742023,0.1968901438900345,0.9933333014602896,0.7249800182441882,0,Africa
50,Queenstown,Spring,10,2574.014359801804,5,Backpacking,1472.0452351178312,1,5,0.1094125482905235,0.9322794475530868,0.1762221652065158,0.5053398311374923,0,Oceania
51,Queenstown,Summer,3,1383.4814248354924,3,Backpacking,497.0265189370915,5,3,0.173979232712396,0.7392352970826587,0.076968168375304,0.3890302595388575,1,Oceania
52,Bali,Monsoon,2,3255.543527387852,1,Adventure,2560.103301107455,1,2,0.0046400610959485,0.2306725409892578,0.5897552388806061,0.1237979037451749,1,Asia
53,NYC,Autumn,6,2140.305595349879,2,Business,330.7992601772216,4,2,-0.1116597744982595,0.1113830895192881,0.0242669884216329,0.7851385890922365,1,North America
54,Goa,Summer,8,1189.7109721299116,2,Backpacking,3946.956675119312,5,2,-0.0757016340027408,0.9489194448685015,0.1804332312748227,0.6174644435816974,1,Asia
55,Goa,Monsoon,10,1075.3872085426349,5,Honeymoon,1286.9163978807694,3,1,1.0,0.1121876660601327,0.622209180690468,0.3768816797380167,0,Asia
56,Paris,Summer,7,672.8364074799614,5,Backpacking,131.60712544725965,3,5,-0.2853625757491044,0.2570700480472482,0.659512400691333,0.9187879760667996,0,Europe
57,Reykjavik,Monsoon,8,2152.617681292005,3,Cultural,835.1364494158215,1,5,-0.1789860042730962,0.1826339929994571,0.5104252496476197,0.6596727064118622,1,Europe
58,Bali,Summer,13,1461.5422191033492,5,Adventure,1850.40212022862,2,5,1.0,0.0074638204117679,0.3837480462293833,0.9292388668437462,0,Asia
59,Queenstown,Autumn,6,435.5818324189727,2,Business,907.216301255566,5,2,0.3105066512302762,0.314134774098044,0.5761975844218483,0.4744124603396439,1,Oceania
60,Cairo,Summer,7,1311.0335522947228,4,Honeymoon,1943.031475722988,2,3,-0.5899903329518479,0.9741788715987626,0.6433857530332387,0.4546178240639299,0,Africa
61,Banff,Summer,8,1052.980067228306,2,Backpacking,555.562251012649,1,3,0.5213436019886316,0.3419033058093564,0.8034820462916507,0.9372392903140796,0,North America
62,Queenstown,Monsoon,7,4653.647293408232,2,Honeymoon,385.75949362747394,4,3,-0.3550194446005738,0.5043048794677737,0.7927508282098474,0.9597914282435333,0,Oceania
63,NYC,Spring,13,650.8849072917276,2,Honeymoon,1035.7112601575177,4,3,0.5545307539025486,0.7459357839217814,0.6648007655149478,0.9607673188788862,1,North America
64,Banff,Spring,13,761.423357225439,3,Business,1124.6785425279631,1,3,-0.0054811396853407,0.5510801020792161,0.8942325832284657,0.8188973939074429,0,North America
65,Goa,Summer,8,3519.174717555914,2,Adventure,829.8894665990573,1,4,-0.1198979247447036,0.7435915074123066,0.8380252535954188,0.4624061448243386,0,Asia
66,NYC,Winter,7,4080.8390447492993,2,Cultural,2927.291633357775,1,1,0.9045824844137914,0.6616358681905152,0.1332460082179402,0.2102992942690588,0,North America
67,Banff,Winter,9,1156.3343491298,2,Cultural,555.480830475202,1,1,0.3832006763296224,0.6085630229990148,0.9566794413234834,0.3834408812778282,1,North America
68,NYC,Dry,4,1237.376270877187,1,Honeymoon,1408.8548437973463,4,5,0.5864947187246037,0.6496489072117452,0.8917423023179204,0.9382974915177886,1,North America
69,Paris,Summer,7,2616.888349128406,5,Business,1157.9146803113042,1,5,0.3174598397599731,0.799164362078251,0.3209271795079598,0.3635542950802999,1,Europe
70,Goa,Summer,4,447.52845479738914,2,Honeymoon,315.6478641543987,4,5,-0.1222222618965492,0.7101913948011042,0.0201844186070394,0.7567174268235375,1,Asia
71,Queenstown,Spring,3,591.868090110609,1,Leisure,381.7537827666832,1,2,0.405677210129104,0.7917749207051915,0.6039759467582875,0.923004351091108,0,Oceania
72,Bali,Autumn,3,1527.7631627146034,3,Honeymoon,1107.1327154361504,5,3,0.7046076963422303,0.1455976382835313,0.438417576866388,0.9703921628814296,1,Asia
73,Goa,Dry,9,4582.199214405161,5,Business,5350.578682262729,4,1,0.1673690217587767,0.6776737327105403,0.7495666625861319,0.947674146875356,1,Asia
74,Bali,Winter,2,1392.0906307884648,2,Backpacking,1743.0920398003182,2,2,1.0,0.7370219123255332,0.5245997645086226,0.5550575977222759,0,Asia
75,Cairo,Autumn,9,1920.9249139430224,5,Cultural,275.74930559362485,3,4,0.5252436016009543,0.2999664324968345,0.0764904352509467,0.4918800746508703,1,Africa
76,Goa,Summer,7,3569.8311028854546,4,Cultural,91.06827936925434,1,2,0.2059912748858059,0.8745773278432823,0.2446874202547758,0.9876405087679864,0,Asia
77,NYC,Monsoon,6,6400.496471217933,4,Leisure,1971.2889052228,1,3,0.2257432655089089,0.3047116033027004,0.8825237561265296,0.2181792045803068,0,North America
78,Kyoto,Summer,11,1279.0730515727785,2,Honeymoon,1015.391177374096,3,1,0.1686185644838123,0.2438321193764973,0.0376896957150501,0.1875302616847626,0,Asia
79,Reykjavik,Spring,8,1789.8694545566048,1,Honeymoon,2732.610820308323,1,3,-0.5256193927974958,0.8670968154805112,0.736669669398287,0.9631822977458352,0,Europe
80,Cairo,Summer,10,5395.028351411669,2,Backpacking,542.0865437079174,4,4,0.0549639020956974,0.2470198381164267,0.2919435079514323,0.6891948218241696,1,Africa
